frame,track_id,name,confidence,inference_time_ms,pose,pose_confidence,is_locked,consecutive_back_frames,frames_since_face,ground_truth
164,4,Unknown,0.0,32.34052658081055,back_view,0.8999999999999999,False,41,62,
164,3,Unknown,0.0,13.125896453857422,partial_back,0.5,False,5,0,
164,7,Unknown,0.0,31.306028366088867,back_view,0.8999999999999999,False,2,0,
166,4,Unknown,0.0,36.53860092163086,back_view,0.8999999999999999,False,42,64,
166,3,Unknown,0.0,12.602090835571289,frontal,0.7,False,0,0,
166,7,Unknown,0.0,35.74824333190918,profile,0.5,False,0,0,
168,4,Unknown,0.0,26.090145111083984,back_view,0.8999999999999999,False,43,66,
168,3,Unknown,0.0,8.813619613647461,profile,0.5,False,0,0,
168,7,Unknown,0.0,34.4388484954834,back_view,0.7,False,1,0,
170,4,Unknown,0.0,27.452945709228516,back_view,0.8999999999999999,False,44,68,
170,3,Unknown,0.0,9.255170822143555,profile,0.5,False,0,0,
170,7,Unknown,0.0,35.56418418884277,back_view,0.7,False,2,0,
172,4,Unknown,0.0,32.810211181640625,back_view,0.8999999999999999,False,45,70,
172,3,Unknown,0.0,12.79592514038086,profile,0.5,False,0,0,
172,7,Unknown,0.0,37.677764892578125,back_view,0.7,False,3,0,
174,4,Unknown,0.0,30.871868133544922,back_view,0.8999999999999999,False,46,72,
174,3,Unknown,0.0,13.04173469543457,profile,0.5,False,0,0,
174,7,Unknown,0.0,38.611650466918945,back_view,0.7,False,4,0,
176,4,Unknown,0.0,51.70416831970215,back_view,0.8999999999999999,False,47,74,
176,3,Unknown,0.0,17.11750030517578,profile,0.5,False,0,0,
176,7,Unknown,0.0,38.158416748046875,back_view,0.7,False,5,0,
178,4,Unknown,0.0,24.04308319091797,partial_back,0.5,False,48,76,
178,3,Unknown,0.0,15.856027603149414,frontal,0.7,False,0,0,
178,7,Unknown,0.0,15.606403350830078,profile,0.5,False,0,0,
180,4,Unknown,0.0,32.32836723327637,profile,0.5,False,0,78,
180,3,Unknown,0.0,20.895957946777344,profile,0.5,False,0,0,
180,7,Unknown,0.0,36.00597381591797,profile,0.5,False,0,0,
182,4,Unknown,0.0,29.140710830688477,partial_back,0.5,False,1,80,
182,3,Unknown,0.0,13.85807991027832,profile,0.5,False,0,0,
182,7,Unknown,0.0,21.137237548828125,profile,0.5,False,0,0,
184,4,Unknown,0.0,25.223255157470703,profile,0.5,False,0,82,
184,3,Unknown,0.0,11.579275131225586,profile,0.5,False,0,0,
184,7,Unknown,0.0,40.823936462402344,profile,0.5,False,0,0,
186,4,Unknown,0.0,26.391267776489258,partial_back,0.5,False,1,84,
186,3,Unknown,0.0,13.264656066894531,profile,0.5,False,0,0,
186,7,Unknown,0.0,17.79627799987793,profile,0.5,False,0,0,
188,3,Unknown,0.0,14.87278938293457,profile,0.5,False,0,0,
188,7,Unknown,0.0,39.33572769165039,profile,0.5,False,0,0,
190,3,Unknown,0.0,12.16888427734375,profile,0.5,False,0,0,
190,7,Unknown,0.0,41.03541374206543,profile,0.5,False,0,0,
190,4,Unknown,0.0,34.16156768798828,partial_back,0.5,False,2,88,
192,3,Unknown,0.0,10.665655136108398,profile,0.5,False,0,0,
192,7,Unknown,0.0,42.777061462402344,profile,0.5,False,0,0,
192,4,Unknown,0.0,36.894798278808594,partial_back,0.5,False,3,90,
194,3,Unknown,0.0,17.32778549194336,profile,0.5,False,0,0,
194,7,myke,0.8208401747232511,49.16024208068848,profile,0.5,True,0,0,
